	MAIN_TAREADOR	start_plan_forward	init_complex_grid	grid_bro	hello_its_me	transpose_xy_planes	transpose_zx_planes	
THREAD 1.1.1	2468000.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	20000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	92000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.5	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.6	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.7	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.8	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.9	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.10	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.11	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.12	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.13	0.00	0.00	0.00	10035000.00	0.00	0.00	0.00	
THREAD 1.1.14	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.15	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.16	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.17	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.18	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.19	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.20	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.21	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.22	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.23	0.00	0.00	0.00	0.00	10305000.00	0.00	0.00	
THREAD 1.1.24	0.00	0.00	0.00	0.00	0.00	565000.00	0.00	
THREAD 1.1.25	0.00	0.00	0.00	0.00	0.00	565000.00	0.00	
THREAD 1.1.26	0.00	0.00	0.00	0.00	0.00	565000.00	0.00	
THREAD 1.1.27	0.00	0.00	0.00	0.00	0.00	565000.00	0.00	
